PWGTP,AGEP,WAGP,PWGTP,SOCP,PUMA,ST,
68,46,52000,68,471011,6200,6,
74,28,44000,74,471011,6200,6,
167,35,0,167,113071,6601,6,
60,60,95000,60,1721YY,3702,6,
62,43,65000,62,414010,6200,6,
63,62,0,63,414010,6400,6,
100,39,120000,100,471011,6200,6,
253,61,40000,253,472111,6300,6,
61,41,57000,61,414010,6400,6,
127,53,36000,127,514041,6500,6,
117,55,21600,117,514041,6500,6,
63,29,35000,63,472111,6702,6,
90,54,89000,90,518010,3701,6,
49,59,0,49,471011,3701,6,
99,54,77000,99,471011,6300,6,
96,64,0,96,49909X,6500,6,
205,48,60000,205,471011,6500,6,
58,63,48000,58,414010,6300,6,
76,32,85000,76,1721YY,6300,6,
180,51,85000,180,1721YY,6701,6,
60,53,71000,60,119041,6500,6,
128,29,44000,128,414010,6400,6,
72,39,31700,72,49904X,6300,6,
119,34,12000,119,414010,3701,6,
63,48,96000,63,119041,6602,6,
61,29,94000,61,1721YY,6400,6,
62,40,40000,62,172051,3701,6,
452,24,45000,452,514041,6702,6,
101,48,146000,101,119041,6300,6,
232,45,98000,232,475040,6601,6,
336,23,14000,336,1940XX,6702,6,
105,26,90000,105,471011,3701,6,
72,55,550,72,471011,6400,6,
67,64,36900,67,472111,6702,6,
67,45,35000,67,49904X,6602,6,
56,80,0,56,414010,6500,6,
259,31,45000,259,472111,6300,6,
112,26,0,112,414010,3702,6,
76,53,404000,76,1721YY,6602,6,
89,54,60000,89,414010,6500,6,
74,42,0,74,471011,6701,6,
99,54,0,99,414010,6602,6,
140,20,6400,140,514041,3702,6,
84,42,91000,84,414010,3702,6,
127,76,0,127,172051,6702,6,
245,39,45000,245,414010,6500,6,
57,55,35000,57,514041,3702,6,
107,60,0,107,471011,6300,6,
75,46,800,75,519010,6701,6,
79,47,70000,79,471011,3702,6,
57,35,0,57,49909X,6400,6,
80,34,0,80,471011,6701,6,
54,47,76000,54,471011,3702,6,
278,25,72000,278,172051,6602,6,
56,44,0,56,471011,6400,6,
96,50,56000,96,514041,6702,6,
18,50,45000,18,49904X,6701,6,
63,46,15000,63,414010,6500,6,
111,22,0,111,49904X,6602,6,
71,49,404000,71,172141,6602,6,
74,46,40000,74,414010,6602,6,
59,48,49900,59,514041,6702,6,
69,54,100000,69,518010,6602,6,
60,60,0,60,471011,6702,6,
70,71,10600,70,414010,6602,6,
63,47,108000,63,113051,6701,6,
91,60,129000,91,1721YY,6601,6,
27,19,3800,27,172141,3702,6,
96,22,45000,96,514041,6701,6,
46,45,51000,46,471011,6701,6,
62,41,80000,62,414010,6300,6,
37,32,62000,37,1940XX,6500,6,
74,31,0,74,472211,6300,6,
206,42,33000,206,471011,6701,6,
84,52,100000,84,519010,6601,6,
75,57,0,75,172051,6601,6,
68,60,120000,68,1721YY,3702,6,
61,51,50000,61,414010,6701,6,
62,62,93000,62,518090,6400,6,
76,58,70000,76,471011,3701,6,
74,53,117000,74,1721YY,6300,6,
114,22,15000,114,472111,6602,6,
36,50,35000,36,471011,6601,6,
122,34,20000,122,514041,6602,6,
86,57,0,86,49909X,6400,6,
104,24,0,104,49909X,6400,6,
73,42,140000,73,113051,6602,6,
84,23,45000,84,514041,3701,6,
98,43,50000,98,414010,3702,6,
70,32,50000,70,172051,6400,6,
164,53,106000,164,113071,6300,6,
35,33,75000,35,172051,6701,6,
75,47,35000,75,519010,6701,6,
43,30,32000,43,472111,3702,6,
84,87,0,84,1721YY,6701,6,
213,29,50000,213,414010,6701,6,
91,37,24000,91,414010,3701,6,
53,40,7000,53,192040,6300,6,
80,47,170000,80,414010,6500,6,
151,30,14000,151,472111,6702,6,
60,36,0,60,471011,6701,6,
54,48,1500,54,1940XX,6701,6,
66,30,42000,66,471011,3701,6,
92,66,0,92,472111,3701,6,
65,23,28000,65,1940XX,6602,6,
67,47,72000,67,1721YY,3702,6,
19,58,65000,19,4750XX,3701,6,
67,52,88000,67,471011,6400,6,
95,54,112000,95,414010,3701,6,
121,48,31200,121,472111,6300,6,
75,45,1000,75,514041,6200,6,
22,28,42000,22,472111,6701,6,
77,32,0,77,113051,3702,6,
31,53,0,31,49909X,3701,6,
104,38,80000,104,172051,3701,6,
