PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
16,29,82000,518090,08301,06,
11,42,82000,1721YY,11104,06,
20,48,150000,1191XX,11105,06,
10,34,98000,1191XX,11101,06,
19,40,0,1191XX,11103,06,
21,56,165000,172051,07901,06,
12,34,47000,519010,07902,06,
51,56,210000,1721YY,11102,06,
99,37,60000,1191XX,08301,06,
15,55,134000,1191XX,11106,06,
6,39,100000,471011,11106,06,
9,81,38000,172070,08303,06,
22,45,62000,172070,11102,06,
13,62,157000,1191XX,08303,06,
6,76,120000,414010,11106,06,
7,62,90000,1191XX,11102,06,
11,28,35000,1191XX,11105,06,
16,36,52000,414010,11105,06,
12,62,0,414010,08303,06,
36,35,100000,172141,07901,06,
11,61,26000,514041,11103,06,
13,36,155000,1191XX,08302,06,
106,28,164000,1191XX,08301,06,
5,67,0,1191XX,08303,06,
7,57,250000,1191XX,11106,06,
18,33,55000,49904X,11103,06,
23,62,33000,1191XX,11104,06,
26,55,115000,113051,08301,06,
9,64,0,471011,11106,06,
12,73,30000,1191XX,11104,06,
41,43,565000,1191XX,08303,06,
14,38,132000,1191XX,11102,06,
5,61,0,1191XX,11103,06,
70,40,30000,4990XX,11104,06,
69,56,565000,1191XX,11106,06,
10,77,100000,172051,11104,06,
4,66,24000,1721YY,11106,06,
12,28,25000,1191XX,11106,06,
15,64,110000,119041,08303,06,
9,32,99000,1191XX,11102,06,
20,35,56000,1191XX,08303,06,
127,63,9400,1191XX,11104,06,
11,79,2300,172051,07901,06,
6,89,0,1191XX,11106,06,
4,53,150000,1191XX,11106,06,
18,29,86000,49904X,07902,06,
144,28,22000,414010,11105,06,
8,62,48000,1191XX,11102,06,
16,50,155000,1191XX,08301,06,
11,59,218000,414010,08301,06,
6,62,181000,119041,08301,06,
15,63,60000,514041,08301,06,
10,64,275000,113071,11102,06,
24,27,111000,172051,11104,06,
15,27,48500,414010,11104,06,
16,62,0,1191XX,08302,06,
5,72,0,414010,11106,06,
5,59,63000,113051,11102,06,
19,30,43700,519010,07901,06,
15,59,0,471011,07902,06,
113,56,36000,471011,11102,06,
8,69,0,1191XX,08301,06,
6,51,137000,113071,11106,06,
26,55,165000,1721YY,08302,06,
13,64,115000,1191XX,11101,06,
6,61,75000,519010,11101,06,
5,31,48000,172051,08302,06,
9,57,0,1191XX,07902,06,
5,24,56000,414010,11105,06,
3,52,279000,1191XX,11106,06,
7,44,140000,119041,11101,06,
8,23,97000,172070,11104,06,
15,36,140000,414010,11104,06,
21,41,50000,1191XX,11106,06,
20,63,0,1191XX,11102,06,
31,26,30000,519010,07902,06,
8,41,111000,1721YY,11106,06,
27,62,94000,1191XX,11103,06,
34,47,0,414010,08301,06,
27,17,15600,414010,08301,06,
7,32,50000,119041,07901,06,
4,54,131000,1191XX,11105,06,
22,64,0,113071,11102,06,
7,61,565000,1191XX,11106,06,
5,26,60000,414010,11105,06,
4,41,105000,471011,11105,06,
15,41,50000,4990XX,11105,06,
4,80,28800,1191XX,11105,06,
21,57,36000,519020,11101,06,
23,36,60000,414010,11106,06,
54,23,30000,472211,08301,06,
88,61,120000,514041,11101,06,
41,40,60000,414010,07901,06,
52,65,0,471011,11106,06,
6,64,89000,1191XX,11106,06,
18,31,30000,519010,08301,06,
20,45,186000,119041,08303,06,
7,53,200000,414010,11106,06,
20,46,120000,1191XX,11103,06,
20,46,101000,113051,08303,06,
38,66,0,172051,07901,06,
7,45,131000,1721YY,11103,06,
11,48,112000,414010,11101,06,
8,39,36000,414010,07901,06,
5,47,75000,49904X,11103,06,
19,59,30000,471011,08303,06,
19,48,312000,1191XX,08303,06,
8,66,0,172070,11101,06,
41,47,95000,1191XX,11101,06,
6,60,93000,172070,11106,06,
3,48,130000,113051,11103,06,
13,64,120000,113051,08303,06,
22,57,100000,1191XX,08301,06,
10,35,70000,1191XX,11102,06,
8,50,90000,172141,11102,06,
46,36,100000,1721YY,11101,06,
9,64,0,1191XX,07901,06,
25,53,60000,1191XX,07901,06,
15,60,120000,172051,11104,06,
5,30,70000,49904X,11106,06,
15,60,0,172051,11104,06,
21,60,41000,1191XX,08302,06,
12,55,113000,1191XX,11105,06,
14,40,60000,1191XX,11104,06,
188,49,110000,172051,11104,06,
