PWGTP,AGEP,WAGP,PUMA20,SOCP,
1,19,30000,11103,172051,
6,35,0,07902,471011,
8,19,30000,11103,172051,
11,22,25200,08302,1940YY,
25,20,500,08303,113071,
7,22,18900,11102,1940YY,
11,70,0,08301,1191XX,
2,20,1800,08303,1191XX,
5,70,0,08301,1191XX,
4,21,0,07902,1721YY,
7,28,0,11102,472211,
10,42,0,07902,471011,
7,18,28500,11109,1191XX,
8,18,15400,11109,1191XX,
10,35,0,07902,471011,
7,70,0,08301,1191XX,
6,51,30000,08302,1191XX,
12,22,18900,11102,1940YY,
11,45,50000,08302,475020,
10,19,6000,07901,514041,
6,22,18900,11102,1940YY,
2,21,1800,08303,1191XX,
8,20,1800,08303,1191XX,
10,21,0,07902,1721YY,
12,20,1800,08303,1191XX,
3,21,0,07902,1721YY,
4,21,500,08303,113071,
1,22,25200,08302,1940YY,
1,42,0,07902,471011,
1,21,7500,11109,1721YY,
13,51,30000,08302,1191XX,
15,21,1800,08303,1191XX,
5,66,0,08301,1191XX,
8,55,100000,08302,472211,
20,72,0,07901,113051,
15,95,0,11102,172051,
165,20,687000,07902,1721YY,
13,26,60000,11109,113071,
19,20,6600,07901,1940YY,
8,40,1500,08301,414010,
26,49,90000,11102,471011,
14,59,0,07901,172051,
95,47,160000,11108,1191XX,
57,60,59000,08302,1721YY,
25,37,50000,11103,471011,
34,24,150000,08303,1721YY,
3,61,140000,11102,113051,
29,32,96000,11102,1191XX,
8,33,107000,08303,1191XX,
8,66,110000,08303,1721YY,
8,32,75000,07901,172051,
10,57,100000,08301,1191XX,
13,26,40000,07901,514041,
18,65,60000,11104,471011,
16,56,54000,11108,1191XX,
12,64,0,08301,1191XX,
12,65,0,08301,1191XX,
16,53,60000,11102,1191XX,
12,57,0,11109,471011,
51,20,48000,08301,472231,
13,30,50000,11108,1191XX,
11,65,0,11102,172070,
27,43,30000,11109,1191XX,
8,32,63000,11107,1191XX,
23,63,0,08301,1191XX,
67,60,0,07901,1191XX,
20,56,230000,07901,1721YY,
17,58,165000,11104,1721YY,
8,63,0,11109,514041,
18,53,120000,11108,1721YY,
109,48,4000,08302,1191XX,
16,25,40000,11108,113071,
19,56,60000,11109,1191XX,
20,57,250000,08303,1191XX,
19,52,185000,08303,1191XX,
23,45,90000,08303,1191XX,
11,20,26200,11103,172141,
16,44,200000,08303,113051,
11,69,94000,08303,1721YY,
14,46,75000,08303,1191XX,
24,44,100000,11107,1191XX,
24,45,36000,11107,1191XX,
18,27,78000,11107,1191XX,
20,80,0,07901,119041,
24,62,180000,11109,1191XX,
10,22,20000,11109,113071,
12,65,0,11103,119041,
12,65,113000,11108,1191XX,
50,28,30000,11104,1191XX,
14,53,122000,11102,518010,
11,73,15400,08302,1191XX,
11,67,6000,08303,172070,
11,68,70000,07902,414010,
8,70,0,11104,1940YY,
12,31,73000,11103,172141,
11,62,100000,11109,1191XX,
20,63,37000,11108,414010,
31,62,230000,11102,1191XX,
10,57,60000,08302,49904X,
18,45,687000,11102,1191XX,
13,44,145000,11107,1191XX,
10,32,55000,11108,514041,
11,71,0,11102,1191XX,
23,55,60000,11103,514041,
26,39,110000,11103,1191XX,
12,61,180000,07901,1191XX,
8,64,17000,11102,414010,
19,44,0,07902,1191XX,
19,43,68000,07902,471011,
11,55,0,11102,1191XX,
9,71,0,07901,1191XX,
18,76,7500,08303,414010,
13,67,0,11108,1191XX,
43,33,100000,11108,1191XX,
15,61,250000,07902,1721YY,
13,57,40000,11103,414010,
15,62,0,08303,1191XX,
17,58,42000,11102,1940XX,
31,60,125000,07901,1191XX,
20,75,76000,11108,1191XX,
32,74,0,08302,1191XX,
12,68,0,11103,49904X,
12,61,75000,11109,414010,
24,61,48000,08301,414010,
19,58,0,11102,1191XX,
14,52,300000,11102,1191XX,
21,62,0,07901,1191XX,
21,27,110000,07901,1721YY,
16,32,120000,08301,172070,
16,61,82000,07902,1191XX,
32,78,3500,08303,414010,
43,55,0,11109,1191XX,
19,68,0,08302,113071,
10,30,50000,08301,172051,
13,52,100000,11104,1721XX,
15,59,99000,08303,1191XX,
12,35,101000,08303,1721YY,
3,46,70000,11102,472211,
11,75,229000,08302,1191XX,
20,68,72000,08301,4990XX,
18,54,80000,11102,1191XX,
15,39,75000,11104,113071,
9,73,280000,08303,1191XX,
11,72,48000,11104,1721YY,
13,46,12800,11102,172141,
12,31,90000,11109,1191XX,
17,62,150000,11109,1191XX,
7,48,60000,08301,113071,
56,60,129000,11104,172051,
19,42,84000,11107,1191XX,
21,31,50000,07901,414010,
5,59,90000,11102,471011,
3,56,120000,11102,1191XX,
14,40,60000,11107,414010,
17,41,100000,11108,172070,
12,52,80000,11103,1191XX,
13,44,115000,08303,172070,
17,26,65000,11102,514041,
26,26,44000,11102,414010,
11,35,145000,11102,172051,
11,48,145000,11102,1191XX,
23,53,165000,11102,1721YY,
11,55,160000,11108,1191XX,
10,67,75000,11102,1191XX,
9,65,23000,11102,1191XX,
31,36,60000,11103,1191XX,
23,49,115000,08301,172141,
24,56,105000,11102,1191XX,
22,61,100000,11102,1721YY,
19,66,0,08303,518010,
19,39,30000,08301,1191XX,
7,48,100000,11102,1191XX,
16,68,0,08302,414010,
65,41,138000,08303,1191XX,
8,67,0,07901,414010,
10,61,100000,07901,414010,
15,32,80000,07901,1191XX,
22,59,30000,08303,113071,
10,66,0,11107,472211,
11,64,34000,11109,1191XX,
60,46,60000,11103,1191XX,
22,41,36000,11103,518090,
12,31,0,08303,172070,
14,24,65000,08303,1191XX,
24,41,0,11102,1191XX,
60,47,54000,11107,113071,
13,26,155000,11104,119041,
14,25,2000,11108,519010,
15,42,230000,11104,1191XX,
35,47,40000,08303,113051,
7,26,84000,11103,172051,
7,58,100000,08301,1191XX,
7,50,60000,11104,1191XX,
8,36,66000,08301,172051,
52,61,33800,08301,519020,
60,41,50000,11103,49904X,
10,69,0,11102,471011,
9,50,90000,11102,113051,
13,33,218000,07901,1191XX,
33,56,0,11103,514041,
8,66,68000,11103,514041,
16,22,6000,07901,1940YY,
18,60,0,11102,1191XX,
10,23,25000,08303,519020,
14,63,80000,11107,1191XX,
38,32,168000,08301,1721YY,
14,28,100000,08303,172141,
18,58,180000,07901,172051,
17,53,174000,11108,172070,
9,66,28000,11109,471011,
8,64,130000,11102,1191XX,
17,27,70000,08303,1191XX,
13,62,0,07902,1191XX,
15,52,48000,11108,1191XX,
22,57,0,11108,49904X,
19,57,80000,08303,414010,
10,57,99000,11102,172141,
10,68,100000,08301,1191XX,
25,25,88000,11102,119041,
14,60,250000,07901,19204X,
16,44,100000,11102,1191XX,
23,62,687000,08302,1191XX,
19,61,250000,11102,1191XX,
22,64,125000,11103,1191XX,
29,48,48400,08302,414010,
57,50,220000,08301,1191XX,
10,66,65000,08303,471011,
11,42,0,11102,1191XX,
18,55,121000,11109,172070,
7,67,0,11102,1191XX,
14,40,110000,08301,1191XX,
7,36,105000,11104,1191XX,
21,23,0,11102,4990XX,
11,67,200000,11103,172070,
33,59,0,11109,1191XX,
5,67,150000,11109,172051,
11,55,120000,08303,1191XX,
25,40,31200,07901,472211,
15,36,310000,11108,1191XX,
35,64,102000,11102,1191XX,
11,69,40000,11102,1191XX,
11,51,124000,11108,1191XX,
4,46,26000,08302,4750XX,
12,36,120000,07901,172070,
12,35,106000,07901,172051,
20,70,0,08303,1191XX,
20,49,0,11107,1191XX,
23,30,82000,11104,1721YY,
14,59,175000,11104,471011,
23,37,40000,11107,1191XX,
60,44,70000,07901,1191XX,
20,67,0,11102,172070,
8,22,0,07901,172070,
10,61,127000,08301,1191XX,
10,32,60000,08301,172141,
9,46,8100,11109,514041,
11,67,0,11108,172070,
6,51,120000,11102,471011,
51,21,7000,11104,1721YY,
12,44,315000,07902,1721XX,
14,50,150000,11103,1191XX,
12,54,98000,11103,414010,
22,64,88000,11102,113051,
17,34,97000,07901,1191XX,
16,52,114000,11107,1191XX,
8,58,106000,11108,1721YY,
14,56,90000,11102,1191XX,
9,60,60000,11108,1721YY,
9,36,60000,08302,1191XX,
49,59,73000,11103,1191XX,
37,47,49800,11104,113051,
5,22,2000,11102,414010,
24,65,102000,08303,1721YY,
27,31,41200,08303,1191XX,
27,47,120000,07901,19204X,
11,45,140000,07901,172051,
11,57,140000,07901,172051,
11,49,250000,11102,1191XX,
10,65,68000,08301,414010,
10,59,100000,11103,49904X,
30,29,15600,08301,519020,
46,58,32000,08302,471011,
9,79,90000,07902,1191XX,
23,55,166000,08301,1721YY,
6,57,164000,11109,1191XX,
32,50,0,11104,471011,
34,30,52000,08303,4990XX,
6,58,140000,11104,414010,
20,56,687000,11102,1721YY,
11,46,0,11107,1191XX,
36,40,12000,11102,4990XX,
12,32,119000,11108,1721YY,
8,63,687000,11109,1191XX,
12,67,100000,11102,414010,
15,56,140000,08303,1191XX,
20,73,140000,11103,1721YY,
40,67,48700,08301,1191XX,
53,44,46800,08301,471011,
9,63,35000,07902,172051,
13,75,0,08303,1191XX,
29,58,77000,07901,1191XX,
12,45,30000,11103,1191XX,
14,64,50000,07901,172051,
36,50,0,11103,471011,
9,55,30000,08301,414010,
22,37,687000,11107,1721YY,
13,62,170000,11103,172070,
12,38,110000,11109,1191XX,
11,45,200000,11102,119041,
19,43,240000,08303,1191XX,
29,65,86000,08302,172141,
17,48,176000,11102,1191XX,
11,58,354000,11102,414010,
15,53,89000,11102,1191XX,
46,31,20000,08301,172141,
15,36,62000,11102,514041,
13,32,22400,11108,1191XX,
22,57,0,11102,1191XX,
17,64,0,08301,1191XX,
9,43,0,11102,1191XX,
10,48,0,07901,1191XX,
20,38,31000,11102,414010,
14,32,90000,11108,1191XX,
23,49,250000,08303,1191XX,
20,50,687000,08303,1191XX,
6,27,20000,08302,1940YY,
12,66,60000,11103,1191XX,
17,47,120000,11108,1191XX,
16,45,135000,11102,1191XX,
32,49,68000,11103,1191XX,
15,44,208000,08303,172051,
11,30,25000,11104,1191XX,
15,65,50000,08302,414010,
14,63,50000,08302,414010,
11,33,0,11103,1191XX,
19,32,0,11107,1191XX,
11,62,0,11107,1191XX,
14,50,0,08301,1191XX,
28,48,200000,08303,119041,
12,42,298000,08303,1191XX,
3,48,150000,11102,1191XX,
14,28,20000,11107,1191XX,
23,20,40000,07901,519020,
13,54,15000,11103,1191XX,
11,52,0,11104,471011,
20,59,56000,11109,1191XX,
66,27,150000,08302,1191XX,
11,64,0,11103,1191XX,
15,59,0,11104,1191XX,
72,61,160000,11108,414010,
12,35,132000,11104,1721YY,
11,48,140000,11104,1721YY,
15,62,50000,11107,4990XX,
15,57,0,07901,1191XX,
22,63,173000,11104,414010,
28,49,125000,11108,1191XX,
12,61,0,08301,514041,
17,44,70000,11102,414010,
20,53,5900,11109,4990XX,
11,56,200000,11108,471011,
12,29,37000,11102,1191XX,
56,53,35000,11104,1191XX,
35,38,85000,07902,1191XX,
16,42,140000,11102,113071,
10,59,142000,11103,172051,
36,44,100000,07901,1191XX,
20,68,800,08302,1191XX,
33,33,130000,11102,519020,
34,50,160000,08302,1191XX,
49,66,290000,08301,1721YY,
10,52,80000,11102,1191XX,
9,62,186000,11102,1191XX,
12,45,130000,11102,414010,
2,55,136000,11102,414010,
5,69,0,11102,1721YY,
37,66,94000,08303,172070,
78,50,50000,11103,1191XX,
4,56,150000,11102,1191XX,
23,63,0,08303,1191XX,
23,65,80000,11102,172051,
20,36,75000,07901,113071,
11,36,87000,11102,1191XX,
14,61,0,11108,414010,
14,75,0,11102,1191XX,
12,76,0,11102,113071,
14,45,200000,08303,113051,
38,57,0,11104,414010,
11,50,230000,11104,119041,
13,33,65000,11107,4740XX,
12,40,282000,07902,49904X,
39,50,50000,08303,1191XX,
21,70,0,07902,113051,
13,57,200000,11102,1191XX,
11,45,60000,08302,414010,
19,29,120000,11108,1191XX,
13,63,0,11103,414010,
43,67,0,11104,49904X,
20,27,125000,11102,1191XX,
37,36,85000,11108,1191XX,
15,45,110000,08303,1191XX,
17,68,579000,08303,1191XX,
17,59,25000,08303,1191XX,
15,58,72000,07901,414010,
16,57,100000,07901,172141,
35,67,0,08303,172051,
34,42,56000,11102,414010,
15,39,17000,11103,514041,
12,49,170000,11104,1191XX,
7,40,25000,11102,1191XX,
13,37,59000,11107,1191XX,
20,58,20000,11102,1191XX,
29,75,250000,11102,1191XX,
17,31,47500,08302,472211,
5,38,150000,11102,414010,
9,31,65000,08302,1191XX,
20,45,101000,08303,1191XX,
32,54,40000,07901,4990XX,
74,28,45000,07902,1191XX,
12,68,0,08301,471011,
30,58,160000,07901,1191XX,
26,65,260000,11109,1191XX,
11,36,7000,11103,113051,
24,32,50000,11102,514041,
33,24,45000,08302,1191XX,
20,66,0,11103,1191XX,
18,60,687000,11102,1191XX,
17,65,70000,07901,113051,
12,40,190000,11104,172051,
12,45,132000,11104,172141,
52,35,30000,11104,1191XX,
47,26,15000,11102,1191XX,
32,68,0,08301,4740XX,
11,64,43000,07901,471011,
9,68,0,11109,1191XX,
58,45,54000,11107,113071,
13,76,114000,11102,172051,
8,40,80000,08302,1191XX,
12,19,1000,07901,1940YY,
4,61,0,11102,1191XX,
20,56,135000,11107,414010,
50,47,60000,11102,471011,
21,71,0,11102,1191XX,
6,67,0,11109,1191XX,
16,51,75000,07901,172051,
21,74,9000,08303,4740XX,
11,73,0,11104,172070,
28,59,65000,08302,1191XX,
9,74,100000,11103,172141,
13,55,200000,11102,1191XX,
59,49,75000,11102,4990XX,
5,51,120000,07901,172070,
40,44,3900,11104,519010,
11,61,0,08302,1721YY,
14,55,42000,11102,1191XX,
21,22,35000,11102,1191XX,
13,54,48000,11108,1191XX,
46,60,250000,07901,19204X,
9,67,9000,11104,1191XX,
2,48,0,08302,414010,
2,47,0,08302,414010,
22,48,181000,11102,1191XX,
21,37,60000,11102,1191XX,
34,57,134000,11102,172070,
12,47,32000,08301,519010,
12,62,125000,08303,113051,
11,52,80000,11102,1191XX,
14,45,250000,08303,119041,
35,65,0,11104,49904X,
12,19,200,11102,49904X,
12,60,400000,11102,414010,
30,36,30000,11104,1191XX,
20,52,15600,11103,113071,
15,73,40000,11109,414010,
12,65,118000,11108,119041,
14,39,170000,11104,1191XX,
34,38,0,11103,1191XX,
14,69,150000,07901,414010,
13,50,687000,11109,1721YY,
14,66,30100,08303,172141,
22,68,0,07901,472211,
9,29,45700,08301,1191XX,
15,70,0,07902,1191XX,
19,26,100000,11104,414010,
16,44,309000,11108,414010,
10,48,80000,11102,1191XX,
6,35,145000,07901,1191XX,
22,40,40000,07901,1191XX,
18,22,70000,11102,472211,
21,63,75000,11104,1721YY,
24,41,175000,07901,1191XX,
12,35,110000,11104,414010,
10,43,180000,11102,1191XX,
22,66,100000,11104,1721YY,
26,59,69000,07901,472211,
10,56,74000,11103,514041,
11,58,140000,07902,1721YY,
23,49,108000,11104,1191XX,
11,67,90000,08302,172051,
103,43,80000,07901,1721YY,
26,33,80000,11103,414010,
14,59,0,07901,414010,
8,69,0,07901,414010,
5,64,72000,08302,1191XX,
11,66,687000,11102,1191XX,
12,70,0,08301,172051,
7,26,45000,08302,1940YY,
19,23,12000,11109,514041,
7,70,0,11109,1191XX,
29,61,63000,11108,514041,
13,54,200000,07901,1191XX,
12,75,40000,11102,1191XX,
21,47,45000,11102,4990XX,
12,47,48000,11109,414010,
14,62,140000,07901,519010,
12,52,50000,11102,1191XX,
23,30,28000,08303,471011,
16,33,90000,11102,1191XX,
13,60,0,07901,1191XX,
10,57,0,11108,414010,
5,64,8500,11102,1940XX,
10,33,100000,11107,1191XX,
12,63,168000,08303,1191XX,
15,33,20000,11108,1940YY,
12,72,0,11102,414010,
14,37,0,11102,514041,
12,53,21900,11108,1940YY,
22,50,0,11102,1191XX,
9,70,0,08301,1191XX,
8,55,0,07901,1191XX,
15,30,70000,08303,1191XX,
10,71,100000,11103,1191XX,
11,65,5000,11109,1191XX,
12,68,0,07902,414010,
7,40,8000,11102,1191XX,
9,54,115000,11102,1191XX,
11,45,161000,11109,172051,
50,43,85000,11102,471011,
7,48,34000,11107,1191XX,
6,57,0,08303,472211,
14,33,97000,07901,1191XX,
16,53,60000,11102,1191XX,
25,49,110000,08303,1191XX,
58,68,0,08303,414010,
22,73,100000,11102,172070,
22,74,30000,11102,172070,
12,42,50000,11107,49904X,
10,42,140000,11102,172141,
7,52,233000,11109,1191XX,
13,73,0,11103,1191XX,
23,56,200000,08303,414010,
23,24,0,11103,172070,
27,37,80000,11102,1721YY,
8,46,41400,11103,471011,
3,69,256000,08302,1191XX,
67,37,29500,11103,1191XX,
3,47,180000,11107,1191XX,
7,26,62000,11107,1191XX,
20,27,52000,11109,1191XX,
16,65,20000,11103,414010,
35,44,78000,08302,4990XX,
20,61,250000,11102,1191XX,
11,35,100000,08302,172051,
35,49,108000,11102,1191XX,
67,50,80000,11102,1191XX,
26,61,52000,11102,1191XX,
8,59,687000,11109,1191XX,
14,62,205000,11102,414010,
22,66,47300,08303,514041,
15,44,323000,11104,1721YY,
27,37,165000,11102,1191XX,
16,42,687000,08302,1721YY,
5,60,0,08301,1721YY,
12,27,83000,07901,172051,
13,73,154000,07902,1191XX,
9,41,200000,08301,1191XX,
22,63,0,11102,514041,
38,57,86000,11102,1191XX,
225,39,40000,11103,1191XX,
24,35,125000,11102,1191XX,
12,58,120000,11103,1191XX,
33,65,150000,11107,172051,
13,73,0,11104,414010,
8,68,0,07901,172070,
15,64,127000,07902,1191XX,
37,46,65000,11102,471011,
14,25,15000,07901,172051,
15,59,100000,07901,471011,
45,61,75000,11103,1191XX,
2,49,70000,11102,1191XX,
25,45,0,07902,1191XX,
17,60,0,07902,1191XX,
50,51,160000,11102,1191XX,
10,69,0,11102,1191XX,
13,43,140000,11102,1721YY,
11,76,0,08301,4990XX,
18,67,133000,11103,1721YY,
13,47,100000,11104,1191XX,
3,59,160000,07902,519010,
40,30,200000,07901,172141,
13,41,100000,07901,113051,
12,33,35000,11108,1940YY,
10,55,411000,08303,119041,
18,20,30000,11109,472211,
72,57,140000,08303,1191XX,
62,46,80000,08303,49904X,
34,32,50000,11104,519020,
10,73,30000,07901,471011,
10,59,50000,07901,1191XX,
10,50,90000,08303,1191XX,
15,58,184000,08301,1191XX,
9,30,125000,07901,1191XX,
10,63,85000,11103,1721YY,
16,56,91000,07902,1191XX,
45,62,0,08303,1721YY,
16,66,75000,07902,1191XX,
15,67,15500,11102,1191XX,
21,72,52000,11102,172141,
10,56,0,11108,471011,
12,58,90000,07902,1191XX,
10,57,135000,07901,1191XX,
7,44,135000,11102,113051,
12,69,0,11108,4990XX,
15,62,72000,07902,1191XX,
20,71,0,08303,1191XX,
12,61,130000,07901,172051,
77,33,44000,08303,49904X,
10,61,0,08301,472211,
15,43,200000,08303,119041,
8,52,77000,08303,1191XX,
13,54,129000,08303,1191XX,
18,76,20000,11102,4990XX,
13,63,39000,08303,414010,
12,58,44000,11103,1191XX,
21,45,46000,11103,113071,
38,57,65000,11102,172141,
9,41,48000,11103,1940YY,
19,37,60000,07902,1191XX,
17,31,0,08302,1191XX,
62,76,6000,07901,172141,
22,55,100000,11108,4750YY,
29,47,118000,11104,172141,
14,51,200000,11103,119041,
8,78,0,11109,119041,
13,69,200000,11108,172070,
28,57,35000,11103,414010,
11,71,0,08303,1191XX,
17,52,42000,11103,1191XX,
20,43,5300,08302,1191XX,
15,64,0,08303,472211,
11,31,33000,08302,4990XX,
7,64,0,08302,1191XX,
26,52,92000,11102,1191XX,
10,56,30000,08303,1191XX,
4,55,250000,07902,1191XX,
19,54,205000,11102,414010,
15,43,86000,11102,414010,
28,32,71000,07901,1191XX,
16,59,102000,11108,1721YY,
24,57,60000,08303,414010,
12,29,40000,08303,1191XX,
34,31,40000,11102,1191XX,
19,68,102000,08303,1721YY,
10,62,107000,11109,19204X,
11,64,120000,11103,1721YY,
12,44,199000,11102,1191XX,
17,73,83000,07902,1940YY,
10,26,68000,08302,475032,
13,58,65000,11102,172141,
13,66,250000,08303,119041,
12,66,200000,11102,1191XX,
4,53,90000,11109,1191XX,
13,40,38000,08303,1191XX,
16,68,0,11102,1191XX,
15,44,200000,08303,119041,
6,44,175000,11102,1191XX,
20,80,0,08301,1191XX,
34,63,80000,08303,1191XX,
18,67,92000,07902,1191XX,
31,39,120000,11102,4990XX,
11,61,62000,11107,1191XX,
18,48,18000,07902,4990XX,
15,41,54000,07902,1940YY,
26,66,120000,11103,1191XX,
22,62,0,08303,172070,
9,69,0,11108,1191XX,
56,36,24000,11103,1191XX,
11,35,100000,07901,1191XX,
41,41,130000,11108,119041,
63,40,26000,11108,113071,
17,59,0,11103,1191XX,
27,41,24000,11104,1191XX,
22,43,26000,08301,4990XX,
