PWGTP,AGEP,SOCP,WAGP,PUMA,STATE,
7,31,1191XX,45000,07901,06,
11,58,519010,52000,07901,06,
15,63,1721YY,222000,08302,06,
9,54,1191XX,0,07902,06,
21,33,1721YY,110000,08303,06,
48,36,119041,152000,07902,06,
20,56,414010,50000,07901,06,
23,31,1191XX,0,11102,06,
12,39,4990XX,72000,11109,06,
16,58,1940YY,100000,11109,06,
62,60,1191XX,68000,11102,06,
122,44,514041,35000,07902,06,
164,27,411011,0,08302,06,
36,52,1191XX,100000,07902,06,
48,35,1191XX,10000,11109,06,
9,37,1191XX,20000,08303,06,
22,33,519010,30000,08302,06,
26,56,514041,24000,11103,06,
20,61,119041,0,07901,06,
33,50,411011,90000,08301,06,
32,67,1191XX,250000,08303,06,
5,73,411011,0,08302,06,
7,82,411011,0,07901,06,
8,69,411011,0,11108,06,
12,64,471011,9600,11109,06,
28,68,1191XX,12000,07902,06,
8,18,1940YY,3300,11109,06,
11,37,1191XX,300000,07902,06,
11,55,113051,80000,07901,06,
75,61,411011,35000,11108,06,
51,21,253041,2700,08303,06,
3,35,4990XX,0,11103,06,
4,34,4990XX,0,11103,06,
14,31,1191XX,80000,07902,06,
20,35,172051,0,08303,06,
10,27,113051,30000,08303,06,
34,46,1191XX,150000,11109,06,
48,57,1191XX,42000,07902,06,
204,39,518090,110000,07901,06,
18,61,414010,18000,11107,06,
8,59,1191XX,12000,07901,06,
9,67,113071,4200,11102,06,
12,61,1191XX,4000,11102,06,
14,23,172070,68000,08301,06,
12,26,411011,32000,08303,06,
17,85,414010,0,11108,06,
9,31,411011,40000,07902,06,
10,70,1191XX,0,07901,06,
5,51,414010,120000,11102,06,
20,44,1721YY,122000,11108,06,
7,57,1191XX,180000,11102,06,
1,42,414010,25000,11107,06,
33,69,411011,0,11102,06,
14,62,1191XX,135000,11108,06,
14,45,1191XX,126000,11102,06,
21,26,1191XX,66000,08302,06,
5,58,1191XX,100000,11103,06,
11,46,1191XX,154000,08301,06,
63,47,414010,61000,11102,06,
12,52,1191XX,80000,11102,06,
99,23,411011,0,07901,06,
115,23,253041,4000,07901,06,
9,24,1191XX,55000,11103,06,
11,26,253041,50000,08301,06,
9,40,414010,6000,11103,06,
24,28,1940YY,27000,11103,06,
8,72,411011,0,08303,06,
14,59,471011,89000,07902,06,
30,30,1721YY,150000,08303,06,
22,36,1721YY,75000,11108,06,
42,53,411011,107000,08303,06,
13,76,113071,43000,11103,06,
23,38,411011,0,07901,06,
8,54,411011,30000,11109,06,
142,26,414010,8000,11103,06,
15,38,119041,280000,08303,06,
24,22,1721YY,6000,07901,06,
5,20,253041,1000,07901,06,
6,20,414010,7200,07901,06,
9,57,1191XX,10000,11102,06,
11,62,172051,150000,07902,06,
40,25,1940YY,60000,11103,06,
