"zipcode","year","occupation","estimate","margin_of_error","county"
"91320",2015,"civilian_employed_population_16_years_and_over_with_earnings",54494,6930,"Ventura"
"91320",2015,"management_occupations",119231,10418,"Ventura"
"91320",2015,"business_and_financial_operations_occupations",71905,18216,"Ventura"
"91320",2015,"computer_and_mathematical_occupations",92108,7359,"Ventura"
"91320",2015,"architecture_and_engineering_occupations",99612,20259,"Ventura"
"91320",2015,"life_physical_and_social_science_occupations",106500,15919,"Ventura"
"91320",2015,"community_and_social_services_occupations",38750,10088,"Ventura"
"91320",2015,"legal_occupations",126847,57805,"Ventura"
"91320",2015,"education_training_and_library_occupations",33203,19301,"Ventura"
"91320",2015,"arts_design_entertainment_sports_and_media_occupations",69861,28885,"Ventura"
"91320",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",84788,18011,"Ventura"
"91320",2015,"health_technologists_and_technicians",46453,22433,"Ventura"
"91320",2015,"healthcare_support_occupations",30139,9193,"Ventura"
"91320",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",54444,57357,"Ventura"
"91320",2015,"law_enforcement_workers_including_supervisors",96724,25103,"Ventura"
"91320",2015,"food_preparation_and_serving_related_occupations",13659,2091,"Ventura"
"91320",2015,"building_and_grounds_cleaning_and_maintenance_occupations",13462,11007,"Ventura"
"91320",2015,"personal_care_and_service_occupations",9078,2029,"Ventura"
"91320",2015,"sales_and_related_occupations",39435,14405,"Ventura"
"91320",2015,"office_and_administrative_support_occupations",31982,2976,"Ventura"
"91320",2015,"farming_fishing_and_forestry_occupations",NA,NA,"Ventura"
"91320",2015,"construction_and_extraction_occupations",31602,21725,"Ventura"
"91320",2015,"installation_maintenance_and_repair_occupations",34978,26292,"Ventura"
"91320",2015,"production_occupations",23670,10819,"Ventura"
"91320",2015,"transportation_occupations",32300,34637,"Ventura"
"91320",2015,"material_moving_occupations",40400,19785,"Ventura"
"91360",2015,"civilian_employed_population_16_years_and_over_with_earnings",41063,1712,"Ventura"
"91360",2015,"management_occupations",84507,12709,"Ventura"
"91360",2015,"business_and_financial_operations_occupations",90298,18449,"Ventura"
"91360",2015,"computer_and_mathematical_occupations",86641,13296,"Ventura"
"91360",2015,"architecture_and_engineering_occupations",91213,6807,"Ventura"
"91360",2015,"life_physical_and_social_science_occupations",115357,11791,"Ventura"
"91360",2015,"community_and_social_services_occupations",42120,9471,"Ventura"
"91360",2015,"legal_occupations",100682,61856,"Ventura"
"91360",2015,"education_training_and_library_occupations",35046,13693,"Ventura"
"91360",2015,"arts_design_entertainment_sports_and_media_occupations",31750,25704,"Ventura"
"91360",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",92222,7401,"Ventura"
"91360",2015,"health_technologists_and_technicians",58348,28520,"Ventura"
"91360",2015,"healthcare_support_occupations",22460,7526,"Ventura"
"91360",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",34375,91280,"Ventura"
"91360",2015,"law_enforcement_workers_including_supervisors",79728,116743,"Ventura"
"91360",2015,"food_preparation_and_serving_related_occupations",15142,5548,"Ventura"
"91360",2015,"building_and_grounds_cleaning_and_maintenance_occupations",21477,3597,"Ventura"
"91360",2015,"personal_care_and_service_occupations",18308,3119,"Ventura"
"91360",2015,"sales_and_related_occupations",38866,8162,"Ventura"
"91360",2015,"office_and_administrative_support_occupations",26841,4036,"Ventura"
"91360",2015,"farming_fishing_and_forestry_occupations",17895,6521,"Ventura"
"91360",2015,"construction_and_extraction_occupations",41758,11664,"Ventura"
"91360",2015,"installation_maintenance_and_repair_occupations",30500,9829,"Ventura"
