"O.NET.SOC.Code","short_code","Title","Scale.ID","Reading Comprehension","Active Listening","Writing","Speaking","Mathematics","Science","Critical Thinking","Active Learning","Learning Strategies","Monitoring","Social Perceptiveness","Coordination","Persuasion","Negotiation","Instructing","Service Orientation","Complex Problem Solving","Operations Analysis","Technology Design","Equipment Selection","Installation","Programming","Operations Monitoring","Operation and Control","Equipment Maintenance","Troubleshooting","Repairing","Quality Control Analysis","Judgment and Decision Making","Systems Analysis","Systems Evaluation","Time Management","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources"
"11-3051.00","11-3051","Industrial Production Managers","LV",4,4,4,4,3.75,1.12,4,4,4,4.88,3.88,4,3.62,3.75,3.62,3.12,3.88,2.88,1.12,2,0,0.75,3.5,3.12,1.38,2.25,1.62,3.88,4.38,3.88,3.75,4.12,4,4,4.25
"11-3051.01","11-3051","Quality Control Systems Managers","LV",4.12,4.12,4,4.12,3.25,2.25,4.12,4.12,3.38,4.5,3.75,3.88,3.5,3.12,3.62,3.25,4.12,3,1.62,1.38,0,1.25,3.5,3,1.5,2.75,1.12,4.12,4.12,3.88,4,3.75,3,2.75,3.5
"11-3051.02","11-3051","Geothermal Production Managers","LV",4.25,3.62,3.75,4,3.75,2.5,3.88,3.25,3.38,4.38,3.62,3.62,3.38,3.38,3.5,3,3.62,2.38,1.88,2.62,0,1.25,3.5,2.88,2.75,3.12,3,2.88,3.62,3.62,3.75,3.88,3.75,3.25,3.88
"11-3051.03","11-3051","Biofuels Production Managers","LV",4,3.88,3.5,4,3.25,3.5,3.88,3.62,3.5,3.88,3.75,4,3.38,3.25,3.62,3.25,3.75,2,1.5,0.38,0,1.62,3.5,3.38,0.75,2,0.12,3.12,3.88,3.5,3.38,3.75,3.12,3,3.62
"11-3051.04","11-3051","Biomass Power Plant Managers","LV",4.25,3.88,3.75,4,3.25,2.5,4,3.38,3.12,4.62,3.62,4,3.25,2.88,3.5,2.75,3.75,2.12,0.75,2,0,0.88,3.88,3,2.75,3,2.75,3.25,3.88,3.75,3.75,3.75,3.62,3.62,4.12
"11-3051.06","11-3051","Hydroelectric Production Managers","LV",4.12,4,3.88,4.12,3.5,3.25,4,3.62,3.75,3.75,3.62,3.75,3.5,3.62,3.88,3.38,3.75,2,1.38,1.88,0.38,1.38,3.62,3.25,2.62,3,2.75,3.38,3.88,3.38,3.5,3.75,3.38,3.38,3.75
"11-3071.00","11-3071","Transportation, Storage, and Distribution Managers","LV",3.75,3.88,3.62,3.75,2.88,0,3.62,3.62,3.25,3.75,3.38,3.88,3.62,3.62,3.38,3.12,3.62,1.88,1.12,0.12,0.12,1.12,2.5,1.62,0.12,1.12,0,2.25,3.5,3.5,3.5,3.75,3.12,3,3.38
"11-3071.04","11-3071","Supply Chain Managers","LV",4,4,4,4,3,0.38,4,3.75,3.25,4.12,3.88,4,3.62,3.75,3.25,3.12,4,2.38,1.38,0,0,0.88,1.88,0,0,0.88,0,1.62,4,3.75,3.88,4,3,3.75,3.88
"11-9041.00","11-9041","Architectural and Engineering Managers","LV",4.38,4,4.12,4,4.25,2.75,4.25,3.88,3.12,4,3.62,4.12,3.75,3.88,3.75,3.25,4.25,2.25,1.75,0,0,1.12,2.62,1.12,0.12,2,0,3.12,4.25,3.62,3.25,4,3.25,3,3.88
"11-9041.01","11-9041","Biofuels/Biodiesel Technology and Product Development Managers","LV",4.25,3.62,3.88,3.5,3.12,3,4.12,3.75,3.25,3.88,3.12,3.38,3.38,3.38,3.25,2.88,3.88,2.25,1.62,2.12,0.38,1.38,3,1.75,1.38,1.62,1.25,3,3.88,3.5,3.5,3.5,1.88,1.88,3.38
"11-9199.01","11-9199","Regulatory Affairs Managers","LV",4.12,4,4.12,4.12,2.62,1.88,4,3.75,3.5,4.12,3.62,3.5,3,3,3,3,3.25,3.12,0.75,0,0,0.88,0.88,0,0,0,0,0.38,4,3.88,3.75,3.75,2.12,2,3.5
"11-9199.02","11-9199","Compliance Managers","LV",4.12,4.12,4.12,4.12,2.25,0.5,4.25,3.88,3.5,4.62,3.62,3.75,3.75,3.12,3.75,2.88,3.5,1.38,0.75,0.12,0,0.88,1.5,0.62,0,0.38,0,1.88,3.88,3.38,3.38,3.12,1.5,1.38,2.88
"11-9199.08","11-9199","Loss Prevention Managers","LV",4,4,3.88,4,2.75,0,4,3.75,3.25,4,3.75,3.62,3.88,3.38,3.88,3.75,3.88,2.25,1.12,0,0,0.75,2.88,1.75,0,1.25,0,2.38,4,4,3.88,3.88,2.12,2.38,4
"11-9199.09","11-9199","Wind Energy Operations Managers","LV",4,4,4,4,3.25,1.12,4,3.62,3.12,4.12,4,3.88,3.75,3.88,3.62,3.12,3.75,2.25,1.25,2.25,0,1.25,3.25,2.5,2.25,2.5,2.12,3,3.62,3.25,3.12,3.25,3.62,3.12,4
"11-9199.10","11-9199","Wind Energy Development Managers","LV",4.25,3.75,3.88,3.75,3.5,1.12,4.25,4,2.88,3.88,3.62,3.88,3.75,3.75,3.25,3.12,3.25,1.62,1,0.38,0,1.25,1.88,1.38,0.38,1.38,0.38,2.5,3.5,3.12,3.38,3.62,3.5,3.5,3.38
"11-9199.11","11-9199","Brownfield Redevelopment Specialists and Site Managers","LV",4.5,4,4.12,4.12,3.88,3.25,4.25,3.88,3,4.12,3.12,4.12,3.5,3.75,3.12,3,4.12,3,1.62,0.38,0,0.75,2.62,1.75,0,1,0,2.88,4,3.75,3.75,3.5,3.75,3.12,3.12
"17-2051.00","17-2051","Civil Engineers","LV",5,4,3.88,3.88,4.75,4,4.62,4.62,3.62,3.88,3.5,3.75,3.25,3,3,3,4.12,4.5,2.5,0.25,0,1.88,2.12,0.5,0.88,0.62,1.62,2.5,4,4.12,4,4,3.38,3,3.5
"17-2051.01","17-2051","Transportation Engineers","LV",4.38,4,4.12,4.12,4.62,3.25,4,3.88,3,3.75,3,3.75,3.62,3.12,3,3,4.38,3.88,2.75,0,0,2.12,2,1.25,0,2,0,2.62,4.25,3.75,3.88,3.88,3.75,3,3.88
"17-2051.02","17-2051","Water/Wastewater Engineers","LV",4.38,4,4,4,4.5,4.12,4.12,4,3.75,4,3,3.62,3.12,3,3.62,2.88,4.75,3.88,3.25,1,0,2.5,3,2,0,2.25,0,3.38,4.12,4.12,4.12,3.88,2.75,2.75,3.62
"17-2071.00","17-2071","Electrical Engineers","LV",4.38,4.12,4.25,4.25,4.12,3.62,4.12,3.88,3,3.88,3,3.25,3,2.88,3,2.75,4,3.25,2,2.12,0,1.38,3.12,0.38,1.75,2.75,2,3.12,3.38,3.38,3.62,3.12,2.62,2.5,3
"17-2141.00","17-2141","Mechanical Engineers","LV",4.75,4,4,3.88,4.5,4.5,4.12,4.25,3.38,4.12,3,3.38,3.12,3.12,3.5,2.88,4.5,4.38,3.5,2.5,2.12,2.25,3.62,2.62,1.88,3.25,1.75,4,4.12,3.88,3.88,3.38,2.62,2.75,3.12
"17-2141.01","17-2141","Fuel Cell Engineers","LV",4.75,4.12,4.12,4,4.12,4,4.25,4,3.12,4,3,3,2.88,2.75,3.12,2.62,3.88,3.12,3.12,2.75,0.75,2.38,3.5,2.88,2.12,3,2.75,3.12,4,4.12,4.12,2.88,1.38,2.62,3
"17-2141.02","17-2141","Automotive Engineers","LV",4.75,4,4.12,3.88,4.88,4.12,4.75,4.5,3,3.75,3,3.62,3.25,3,3.62,2.75,4.25,3.88,3.88,1.75,0,2.88,3,2.12,0,2.5,0,3.62,4.25,3.88,4.12,3.25,2.12,2,3
"17-2199.03","17-2199","Energy Engineers, Except Wind and Solar","LV",4.75,4,4.12,4,4.12,4.38,4.12,3.88,3,3.88,3.5,3.38,3,3,3,3,4,3.88,2.12,0.25,0,1.25,2.75,1.88,0,1.62,0,2.5,4,4,3.75,3.38,2.25,2.38,3
"17-2199.05","17-2199","Mechatronics Engineers","LV",4.12,4,4,3.88,4,3.25,4,4,3.12,3.88,2.88,3,3,2.88,3.12,2.88,4.25,3.62,3.62,2.5,0.75,2.38,3.5,3,0.75,2.5,0.75,3.75,4.12,4,4,3.38,1.88,1.88,2.88
"17-2199.06","17-2199","Microsystems Engineers","LV",4.75,4.25,4,4,3.88,3.88,4.12,3.88,3.38,3.75,3.38,3.12,3,3.25,3.5,3,4.25,3,2.62,2.38,0.62,2.5,3.38,2.75,1.62,2.38,1.75,3.5,3.75,4,3.88,3.62,2.25,2.38,2.88
"17-2199.07","17-2199","Photonics Engineers","LV",5,4.12,4.75,4,4.88,4,4.75,5,3.25,3.62,2.75,3.12,2.75,2.62,3.5,2.62,4,3.88,3.88,3.5,0.25,2.75,3.5,3,2.25,3.25,3,4,4,4,3.75,3,1.38,2,2.5
"17-2199.08","17-2199","Robotics Engineers","LV",4.88,4,3.88,3.88,4.62,3.75,4.62,4.5,3.75,3.88,3.5,3.75,3.38,2.88,3.5,2.25,4.12,4,4.12,4.12,3.25,3.88,3.75,3.38,3.75,3.88,3.75,4.25,4.12,4,4.12,4,2.62,2.25,3.62
