"AREA","AREA_TITLE","AREA_TYPE","PRIM_STATE","NAICS","NAICS_TITLE","I_GROUP","OWN_CODE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","PCT_TOTAL","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY","label"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3051","Industrial Production Managers","detailed","460","7.6","1.5349999999999999","1.19",NA,"59.9","124590","4.5","31.08","43.65","57.37","74.83","90.51","64650","90800","119320","155650","188260",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3071","Transportation, Storage, and Distribution Managers","detailed","310","17.7","1.0209999999999999","1.07",NA,"50.04","104080","3.2","31.41","37.299999999999997","45.88","56.09","78.72","65330","77580","95430","116660","163750",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-9041","Architectural and Engineering Managers","detailed","**","**","**","**",NA,"81.64","169820","3.9","48.87","62.16","76.28","93.54","#","101650","129280","158650","194560","#",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2051","Civil Engineers","detailed","920","21.4","3.0710000000000002","1.42",NA,"50.49","105030","3.3","33.119999999999997","42.03","50.29","60.43","67.349999999999994","68890","87420","104590","125690","140080",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2071","Electrical Engineers","detailed","500","27","1.661","1.25",NA,"55.35","115130","4.5999999999999996","35.619999999999997","42.12","52.29","65.11","83.18","74090","87610","108770","135440","173010",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2141","Mechanical Engineers","detailed","1190","25.8","3.9689999999999999","1.88",NA,"49.52","103010","1.9","31.65","39.43","48.72","59.7","68.77","65840","82010","101340","124180","143030",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2199","Engineers, All Other","detailed","420","14.2","1.391","1.27",NA,"55.46","115360","2.9","25.36","41.69","56.27","70.08","82.11","52750","86710","117040","145780","170790",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","detailed","530","20.3","1.7789999999999999","0.86",NA,"38.51","80100","4.8","17.16","25.71","37.64","49","64","35700","53480","78290","101930","133110",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","detailed","830","14.3","2.766","0.63",NA,"39.69","82560","3.2","24.79","28.59","37.03","49.27","61.25","51570","59470","77010","102490","127390",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","47-2211","Sheet Metal Workers","detailed","**","**","**","**",NA,"25.61","53260","2.8","15.96","19.91","26.59","30.35","34.92","33200","41410","55310","63120","72630",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","47-2231","Solar Photovoltaic Installers","detailed","**","**","**","**",NA,"22.7","47210","4.7","20.23","21.22","22.87","24.52","25.51","42080","44140","47570","51000","53050",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","49-9099","Installation, Maintenance, and Repair Workers, All Other","detailed","**","**","**","**",NA,"24.46","50870","8.1999999999999993","16.55","19.04","23.24","29.45","34.54","34420","39600","48330","61250","71850",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-4041","Machinists","detailed","940","13","3.1480000000000001","1.22",NA,"23.2","48260","2.2999999999999998","15.17","17.940000000000001","22.46","28.12","32.68","31550","37310","46710","58500","67980",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-8099","Plant and System Operators, All Other","detailed","80","13.3","0.25800000000000001","2.44",NA,"39.33","81810","10","25.01","34.630000000000003","42.04","47.31","50.48","52020","72030","87450","98400","104990",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","detailed","40","28","0.13100000000000001","0.38",NA,"23.66","49200","9.1","15.14","16.989999999999998","20.260000000000002","29.33","38.15","31500","35330","42140","61010","79360",NA,NA,"green job"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3051","Industrial Production Managers","detailed","180","7.1","1.6240000000000001","1.26",NA,"68.69","142870","7.1","36.340000000000003","48.64","68.66","88.41","99.82","75580","101170","142820","183890","207630",NA,NA,"green job"
