"AREA","AREA_TITLE","AREA_TYPE","PRIM_STATE","NAICS","NAICS_TITLE","I_GROUP","OWN_CODE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","PCT_TOTAL","PCT_RPT","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY","label"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3051","Industrial Production Managers","detailed","530","5.8","1.6950000000000001","1.18",NA,NA,"58.72","122130","1.4","31.44","39.659999999999997","52.24","70.47","93.68","65400","82490","108650","146580","194850",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3071","Transportation, Storage, and Distribution Managers","detailed","470","2.7","1.516","1.32",NA,NA,"52.06","108280","2.7","26","33.75","46.82","64.540000000000006","87.04","54090","70200","97390","134250","181040",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-9041","Architectural and Engineering Managers","detailed","550","3.5","1.7649999999999999","1.32",NA,NA,"87.14","181260","2.9","51.76","66.89","80.25","97.81","#","107650","139140","166910","203440","#",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-9199","Managers, All Other","detailed","1260","3.2","4.0229999999999997","1.1000000000000001",NA,NA,"76.209999999999994","158520","1.3","36.36","51.11","66.27","86.39","#","75640","106320","137850","179690","#",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2051","Civil Engineers","detailed","720","10.3","2.3149999999999999","1.1100000000000001",NA,NA,"48.18","100210","8.6999999999999993","19.43","31.58","47.09","61.43","76.72","40420","65690","97940","127770","159590",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2071","Electrical Engineers","detailed","390","13.2","1.2490000000000001","1.01",NA,NA,"60.4","125620","2.1","35.659999999999997","41.12","52.91","68.510000000000005","93.8","74170","85530","110040","142490","195090",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2141","Mechanical Engineers","detailed","850","4.5","2.7130000000000001","1.45",NA,NA,"49.42","102790","1.8","30.63","36.65","47.52","58.46","67.81","63710","76230","98840","121600","141040",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2199","Engineers, All Other","detailed","490","7.8","1.556","1.53",NA,NA,"51.72","107580","1.3","29.29","38.26","47.72","64.22","77.55","60930","79580","99250","133580","161300",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","detailed","490","9.6","1.5780000000000001","0.8",NA,NA,"49.62","103200","4","18.09","31.15","48.11","61.99","79.569999999999993","37630","64780","100080","128950","165500",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","detailed","1060","3.1","3.371","0.69",NA,NA,"41.46","86240","1.2","28.68","31.5","38.47","48.59","58.84","59650","65510","80010","101060","122400",NA,NA,"green job"
